,Edad,Fecha,Total vacunados
185,91,2020-12-25,0.0
186,92,2020-12-25,0.0
187,93,2020-12-25,0.0
188,94,2020-12-25,0.0
189,95,2020-12-25,0.0
190,96,2020-12-25,0.0
191,97,2020-12-25,0.0
192,98,2020-12-25,0.0
193,99,2020-12-25,0.0
194,100,2020-12-25,0.0
195,101,2020-12-25,0.0
196,102,2020-12-25,0.0
197,103,2020-12-25,0.0
198,104,2020-12-25,0.0
199,105,2020-12-25,0.0
200,106,2020-12-25,0.0
201,107,2020-12-25,0.0
202,108,2020-12-25,0.0
203,109,2020-12-25,0.0
204,110,2020-12-25,0.0
205,111,2020-12-25,0.0
206,112,2020-12-25,0.0
207,116,2020-12-25,0.0
208,120,2020-12-25,0.0
209,121,2020-12-25,0.0
210,124,2020-12-25,0.0
211,221,2020-12-25,0.0
212,12,2020-12-26,0.0
213,13,2020-12-26,0.0
214,14,2020-12-26,0.0
215,15,2020-12-26,0.0
216,16,2020-12-26,0.0
217,17,2020-12-26,0.0
218,18,2020-12-26,0.0
219,19,2020-12-26,2.0
220,20,2020-12-26,10.0
221,21,2020-12-26,19.0
222,22,2020-12-26,44.0
223,23,2020-12-26,72.0
224,24,2020-12-26,96.0
225,25,2020-12-26,135.0
226,26,2020-12-26,139.0
227,27,2020-12-26,154.0
228,28,2020-12-26,164.0
229,29,2020-12-26,176.0
230,30,2020-12-26,157.0
231,31,2020-12-26,178.0
232,32,2020-12-26,141.0
233,33,2020-12-26,124.0
234,34,2020-12-26,114.0
235,35,2020-12-26,123.0
236,36,2020-12-26,111.0
237,37,2020-12-26,87.0
238,38,2020-12-26,94.0
239,39,2020-12-26,83.0
240,40,2020-12-26,85.0
241,41,2020-12-26,48.0
242,42,2020-12-26,56.0
243,43,2020-12-26,61.0
244,44,2020-12-26,42.0
245,45,2020-12-26,36.0
246,46,2020-12-26,47.0
247,47,2020-12-26,51.0
248,48,2020-12-26,48.0
249,49,2020-12-26,41.0
250,50,2020-12-26,38.0
251,51,2020-12-26,32.0
252,52,2020-12-26,30.0
253,53,2020-12-26,38.0
254,54,2020-12-26,34.0
255,55,2020-12-26,30.0
256,56,2020-12-26,23.0
257,57,2020-12-26,22.0
258,58,2020-12-26,30.0
259,59,2020-12-26,24.0
260,60,2020-12-26,15.0
261,61,2020-12-26,16.0
262,62,2020-12-26,17.0
263,63,2020-12-26,13.0
264,64,2020-12-26,12.0
265,65,2020-12-26,6.0
266,66,2020-12-26,6.0
267,67,2020-12-26,4.0
268,68,2020-12-26,3.0
269,69,2020-12-26,4.0
270,70,2020-12-26,2.0
271,71,2020-12-26,2.0
272,72,2020-12-26,0.0
273,73,2020-12-26,0.0
274,74,2020-12-26,1.0
275,75,2020-12-26,1.0
276,76,2020-12-26,0.0
277,77,2020-12-26,0.0
278,78,2020-12-26,1.0
279,79,2020-12-26,0.0
280,80,2020-12-26,0.0
281,81,2020-12-26,0.0
282,82,2020-12-26,0.0
283,83,2020-12-26,0.0
284,84,2020-12-26,1.0
285,85,2020-12-26,0.0
286,86,2020-12-26,0.0
287,87,2020-12-26,0.0
288,88,2020-12-26,0.0
289,89,2020-12-26,0.0
290,90,2020-12-26,0.0
291,91,2020-12-26,0.0
292,92,2020-12-26,0.0
293,93,2020-12-26,0.0
294,94,2020-12-26,0.0
295,95,2020-12-26,0.0
296,96,2020-12-26,0.0
297,97,2020-12-26,0.0
298,98,2020-12-26,0.0
299,99,2020-12-26,0.0
300,100,2020-12-26,0.0
301,101,2020-12-26,0.0
302,102,2020-12-26,0.0
303,103,2020-12-26,0.0
304,104,2020-12-26,0.0
305,105,2020-12-26,0.0
306,106,2020-12-26,0.0
307,107,2020-12-26,0.0
308,108,2020-12-26,0.0
309,109,2020-12-26,0.0
310,110,2020-12-26,0.0
311,111,2020-12-26,0.0
312,112,2020-12-26,0.0
313,116,2020-12-26,0.0
314,120,2020-12-26,0.0
315,121,2020-12-26,0.0
316,124,2020-12-26,0.0
317,221,2020-12-26,0.0
318,12,2020-12-27,0.0
319,13,2020-12-27,0.0
320,14,2020-12-27,0.0
321,15,2020-12-27,0.0
322,16,2020-12-27,0.0
323,17,2020-12-27,0.0
324,18,2020-12-27,0.0
325,19,2020-12-27,1.0
326,20,2020-12-27,0.0
327,21,2020-12-27,0.0
328,22,2020-12-27,1.0
329,23,2020-12-27,4.0
330,24,2020-12-27,7.0
331,25,2020-12-27,6.0
332,26,2020-12-27,7.0
333,27,2020-12-27,16.0
334,28,2020-12-27,11.0
335,29,2020-12-27,12.0
336,30,2020-12-27,27.0
337,31,2020-12-27,9.0
338,32,2020-12-27,17.0
339,33,2020-12-27,17.0
340,34,2020-12-27,13.0
341,35,2020-12-27,14.0
342,36,2020-12-27,9.0
343,37,2020-12-27,13.0
344,38,2020-12-27,10.0
345,39,2020-12-27,11.0
346,40,2020-12-27,6.0
347,41,2020-12-27,5.0
348,42,2020-12-27,4.0
349,43,2020-12-27,7.0
350,44,2020-12-27,3.0
351,45,2020-12-27,8.0
352,46,2020-12-27,5.0
353,47,2020-12-27,5.0
354,48,2020-12-27,9.0
355,49,2020-12-27,3.0
356,50,2020-12-27,7.0
357,51,2020-12-27,4.0
358,52,2020-12-27,5.0
359,53,2020-12-27,2.0
360,54,2020-12-27,6.0
361,55,2020-12-27,7.0
362,56,2020-12-27,4.0
363,57,2020-12-27,1.0
364,58,2020-12-27,3.0
365,59,2020-12-27,5.0
366,60,2020-12-27,1.0
367,61,2020-12-27,2.0
368,62,2020-12-27,1.0
369,63,2020-12-27,1.0
370,64,2020-12-27,1.0
371,65,2020-12-27,0.0
372,66,2020-12-27,0.0
373,67,2020-12-27,1.0
374,68,2020-12-27,0.0
375,69,2020-12-27,0.0
376,70,2020-12-27,0.0
377,71,2020-12-27,0.0
378,72,2020-12-27,0.0
379,73,2020-12-27,0.0
380,74,2020-12-27,0.0
381,75,2020-12-27,0.0
382,76,2020-12-27,0.0
383,77,2020-12-27,0.0
384,78,2020-12-27,0.0
385,79,2020-12-27,0.0
386,80,2020-12-27,0.0
387,81,2020-12-27,0.0
388,82,2020-12-27,0.0
389,83,2020-12-27,0.0
390,84,2020-12-27,0.0
391,85,2020-12-27,0.0
392,86,2020-12-27,0.0
393,87,2020-12-27,0.0
394,88,2020-12-27,0.0
395,89,2020-12-27,0.0
396,90,2020-12-27,0.0
397,91,2020-12-27,0.0
398,92,2020-12-27,0.0
399,93,2020-12-27,0.0
400,94,2020-12-27,0.0
401,95,2020-12-27,0.0
402,96,2020-12-27,0.0
403,97,2020-12-27,0.0
404,98,2020-12-27,0.0
405,99,2020-12-27,0.0
406,100,2020-12-27,0.0
407,101,2020-12-27,0.0
408,102,2020-12-27,0.0
409,103,2020-12-27,0.0
410,104,2020-12-27,0.0
411,105,2020-12-27,0.0
412,106,2020-12-27,0.0
413,107,2020-12-27,0.0
414,108,2020-12-27,0.0
415,109,2020-12-27,0.0
416,110,2020-12-27,0.0
417,111,2020-12-27,0.0
418,112,2020-12-27,0.0
419,116,2020-12-27,0.0
420,120,2020-12-27,0.0
421,121,2020-12-27,0.0
422,124,2020-12-27,0.0
423,221,2020-12-27,0.0
424,12,2020-12-28,0.0
425,13,2020-12-28,0.0
426,14,2020-12-28,0.0
427,15,2020-12-28,0.0
428,16,2020-12-28,0.0
429,17,2020-12-28,0.0
430,18,2020-12-28,0.0
431,19,2020-12-28,0.0
432,20,2020-12-28,0.0
433,21,2020-12-28,0.0
434,22,2020-12-28,0.0
435,23,2020-12-28,0.0
436,24,2020-12-28,0.0
437,25,2020-12-28,0.0
438,26,2020-12-28,0.0
439,27,2020-12-28,0.0
440,28,2020-12-28,0.0
441,29,2020-12-28,0.0
442,30,2020-12-28,0.0
443,31,2020-12-28,0.0
444,32,2020-12-28,0.0
445,33,2020-12-28,0.0
446,34,2020-12-28,0.0
447,35,2020-12-28,0.0
448,36,2020-12-28,0.0
449,37,2020-12-28,0.0
450,38,2020-12-28,0.0
451,39,2020-12-28,0.0
452,40,2020-12-28,0.0
453,41,2020-12-28,0.0
454,42,2020-12-28,0.0
455,43,2020-12-28,0.0
456,44,2020-12-28,0.0
457,45,2020-12-28,0.0
458,46,2020-12-28,0.0
459,47,2020-12-28,0.0
460,48,2020-12-28,0.0
461,49,2020-12-28,0.0
462,50,2020-12-28,0.0
463,51,2020-12-28,0.0
464,52,2020-12-28,0.0
465,53,2020-12-28,0.0
466,54,2020-12-28,0.0
467,55,2020-12-28,0.0
468,56,2020-12-28,0.0
469,57,2020-12-28,0.0
470,58,2020-12-28,0.0
471,59,2020-12-28,0.0
472,60,2020-12-28,0.0
473,61,2020-12-28,0.0
474,62,2020-12-28,0.0
475,63,2020-12-28,0.0
476,64,2020-12-28,0.0
477,65,2020-12-28,0.0
478,66,2020-12-28,0.0
479,67,2020-12-28,0.0
480,68,2020-12-28,0.0
481,69,2020-12-28,0.0
482,70,2020-12-28,0.0
483,71,2020-12-28,0.0
484,72,2020-12-28,0.0
485,73,2020-12-28,0.0
486,74,2020-12-28,0.0
487,75,2020-12-28,0.0
488,76,2020-12-28,0.0
489,77,2020-12-28,0.0
490,78,2020-12-28,0.0
491,79,2020-12-28,0.0
492,80,2020-12-28,0.0
493,81,2020-12-28,0.0
494,82,2020-12-28,0.0
495,83,2020-12-28,0.0
496,84,2020-12-28,0.0
497,85,2020-12-28,0.0
498,86,2020-12-28,0.0
499,87,2020-12-28,0.0
500,88,2020-12-28,0.0
501,89,2020-12-28,0.0
502,90,2020-12-28,0.0
503,91,2020-12-28,0.0
504,92,2020-12-28,0.0
505,93,2020-12-28,0.0
506,94,2020-12-28,0.0
507,95,2020-12-28,0.0
508,96,2020-12-28,0.0
509,97,2020-12-28,0.0
510,98,2020-12-28,0.0
511,99,2020-12-28,0.0
512,100,2020-12-28,0.0
513,101,2020-12-28,0.0
514,102,2020-12-28,0.0
515,103,2020-12-28,0.0
516,104,2020-12-28,0.0
517,105,2020-12-28,0.0
518,106,2020-12-28,0.0
519,107,2020-12-28,0.0
520,108,2020-12-28,0.0
521,109,2020-12-28,0.0
522,110,2020-12-28,0.0
523,111,2020-12-28,0.0
524,112,2020-12-28,0.0
525,116,2020-12-28,0.0
526,120,2020-12-28,0.0
527,121,2020-12-28,0.0
528,124,2020-12-28,0.0
529,221,2020-12-28,0.0
530,12,2020-12-29,0.0
531,13,2020-12-29,0.0
532,14,2020-12-29,0.0
533,15,2020-12-29,0.0
534,16,2020-12-29,0.0
535,17,2020-12-29,0.0
536,18,2020-12-29,0.0
537,19,2020-12-29,0.0
538,20,2020-12-29,0.0
539,21,2020-12-29,0.0
540,22,2020-12-29,0.0
541,23,2020-12-29,0.0
542,24,2020-12-29,0.0
543,25,2020-12-29,0.0
544,26,2020-12-29,0.0
545,27,2020-12-29,0.0
546,28,2020-12-29,0.0
547,29,2020-12-29,0.0
548,30,2020-12-29,0.0
549,31,2020-12-29,0.0
550,32,2020-12-29,0.0
551,33,2020-12-29,0.0
552,34,2020-12-29,0.0
553,35,2020-12-29,0.0
554,36,2020-12-29,0.0
555,37,2020-12-29,0.0
556,38,2020-12-29,0.0
557,39,2020-12-29,0.0
558,40,2020-12-29,0.0
559,41,2020-12-29,0.0
560,42,2020-12-29,0.0
561,43,2020-12-29,0.0
562,44,2020-12-29,0.0
563,45,2020-12-29,0.0
564,46,2020-12-29,0.0
565,47,2020-12-29,0.0
566,48,2020-12-29,0.0
567,49,2020-12-29,0.0
568,50,2020-12-29,0.0
569,51,2020-12-29,0.0
570,52,2020-12-29,0.0
571,53,2020-12-29,0.0
572,54,2020-12-29,0.0
573,55,2020-12-29,0.0
574,56,2020-12-29,0.0
575,57,2020-12-29,0.0
576,58,2020-12-29,0.0
577,59,2020-12-29,0.0
578,60,2020-12-29,0.0
579,61,2020-12-29,0.0
580,62,2020-12-29,0.0
581,63,2020-12-29,0.0
582,64,2020-12-29,0.0
583,65,2020-12-29,0.0
584,66,2020-12-29,0.0
585,67,2020-12-29,0.0
586,68,2020-12-29,0.0
587,69,2020-12-29,0.0
588,70,2020-12-29,0.0
589,71,2020-12-29,0.0
590,72,2020-12-29,0.0
591,73,2020-12-29,0.0
592,74,2020-12-29,0.0
593,75,2020-12-29,0.0
594,76,2020-12-29,0.0
595,77,2020-12-29,0.0
596,78,2020-12-29,0.0
597,79,2020-12-29,0.0
598,80,2020-12-29,0.0
599,81,2020-12-29,0.0
600,82,2020-12-29,0.0
601,83,2020-12-29,0.0
602,84,2020-12-29,0.0
603,85,2020-12-29,0.0
604,86,2020-12-29,0.0
605,87,2020-12-29,0.0
606,88,2020-12-29,0.0
607,89,2020-12-29,0.0
608,90,2020-12-29,0.0
609,91,2020-12-29,0.0
610,92,2020-12-29,0.0
611,93,2020-12-29,0.0
612,94,2020-12-29,0.0
